date,open,high,low,close,volume,log_return,vol_5,vol_20,vol_60,ma_5,ma_20,log_volume,vix,rf_rate,vix_change,rf_daily,fomc_day,fomc_window
2021-08-06,155.19,157.82,155.11,157.5,13328750,0.0280076249869033,0.2420770303634808,0.2413904851599315,0.2171538694897273,153.19,152.639,16.405433914314525,16.15,0.0009,-1.1300000000000026,3.5714285714285718e-06,0,0
2021-08-09,157.52,158.55,155.9,157.33,9516867,-0.0010799480133557,0.2340859472881211,0.2359532166480818,0.2106112219242488,154.422,152.6055,16.06857625596471,16.72,0.0008,0.5700000000000003,3.174603174603174e-06,0,0
2021-08-10,156.74,159.975,156.31,159.26,8666998,0.0121925765769668,0.2349541278331205,0.2330893825470456,0.2096744634772912,155.696,152.786,15.9750330373561,16.79,0.0008,0.0700000000000002,3.174603174603174e-06,0,0
2021-08-11,160.0,161.5,159.08,161.16,9156458,0.0118595734938478,0.1636685073715563,0.2354204671444168,0.2110063300179792,157.68,153.08800000000002,16.029969980647145,16.06,0.0008,-0.7300000000000004,3.174603174603174e-06,0,0
2021-08-12,161.88,162.37,160.5539,161.79,8849610,0.0039015376940988,0.1752913212167218,0.2355258465818906,0.2091912492882658,159.408,153.4045,15.995883948216488,15.59,0.0009,-0.4699999999999988,3.5714285714285718e-06,0,0
2021-08-13,161.79,162.16,159.57,159.98,8953523,-0.0112503905965695,0.1554263839648898,0.2221559973866419,0.2098757487977843,159.904,153.80800000000002,16.007557644083484,15.45,0.0008,-0.1400000000000005,3.174603174603174e-06,0,0
2021-08-16,158.94,159.03,156.78,158.93,8759767,-0.0065849537119475,0.1691188616002475,0.1820717690938095,0.2102702667657986,160.224,154.406,15.98567986438532,16.12,0.0008,0.6700000000000017,3.174603174603174e-06,0,0
2021-08-17,157.57,158.86,155.27,157.01,9347213,-0.0121543561212981,0.1651716046662145,0.1820438684923259,0.2102828639636548,159.77399999999997,154.77100000000002,16.050588781965416,17.91,0.0007,1.7899999999999991,2.7777777777777783e-06,0,0
2021-08-18,156.31,158.01,155.34,155.58,8065493,-0.009149428808802,0.1029574581482428,0.1726168613678529,0.2106272190635945,158.658,154.90699999999998,15.903105396005486,21.57,0.0007,3.66,2.7777777777777783e-06,0,0
2021-08-19,153.16,155.56,153.01,154.28,9517737,-0.008390935438601,0.0354607087158394,0.168747645400588,0.2102797612247576,157.156,155.0745,16.068667668425995,21.67,0.0006,0.1000000000000014,2.3809523809523808e-06,0,0
2021-08-20,154.35,154.9,153.16,154.72,6974102,0.0028478983649571,0.0904232761213851,0.1684644260124946,0.2104086276499019,156.10399999999998,155.2785,15.757714131863574,18.56,0.0006,-3.110000000000003,2.3809523809523808e-06,0,0
2021-08-23,155.33,157.09,155.24,156.7,7934587,0.0127161176569908,0.1649198317218504,0.172321363771818,0.2095819973995568,155.658,155.531,15.88674186269901,17.15,0.0007,-1.41,2.7777777777777783e-06,0,0
2021-08-24,157.0,158.55,156.87,157.67,7670925,0.0061710918874152,0.1502833083670122,0.1726672521444982,0.2100677195657717,155.79,155.842,15.852947765811118,17.22,0.0006,0.0700000000000002,2.3809523809523808e-06,0,0
2021-08-25,158.51,161.78,157.8,160.92,11335040,0.0204031058321971,0.1714908535333804,0.184566570516775,0.2131711623810823,156.858,156.303,16.24340937081035,16.79,0.0007,-0.4299999999999997,2.7777777777777783e-06,0,0
2021-08-26,162.26,163.83,161.15,161.75,11027451,0.0051445862994226,0.1132313769350734,0.1835965078642548,0.2134850103346255,158.352,156.7405,16.215898267514497,18.84,0.0007,2.0500000000000007,2.7777777777777783e-06,0,0
2021-08-27,161.75,163.16,161.26,163.05,8780185,0.0080049688543182,0.099335308923301,0.1798791722819989,0.2141759222547333,160.018,157.304,15.98800803600435,16.39,0.0007,-2.4499999999999997,2.7777777777777783e-06,0,0
2021-08-30,163.21,163.49,159.8801,160.44,7937561,-0.016136861333476,0.2091049024458273,0.1914373846123868,0.2165684524631686,160.766,157.76749999999998,15.887116607192924,16.19,0.0008,-0.1999999999999993,3.174603174603174e-06,0,0
2021-08-31,160.44,161.37,159.35,159.95,12340838,-0.0030587745063251,0.2152390362745915,0.1899268321443799,0.2164624327051032,161.222,158.12050000000002,16.328424483374036,16.48,0.0007,0.2899999999999991,2.7777777777777783e-06,0,0
2021-09-01,160.22,160.76,158.97,159.72,8729920,-0.0014389842005063,0.1487395910209323,0.184162504031853,0.2163539877524284,160.98200000000003,158.5445,15.982266763970818,16.11,0.0007,-0.370000000000001,2.7777777777777783e-06,0,0
2021-09-02,160.02,161.61,159.43,160.46,8815634,0.0046224081304893,0.1473099729831872,0.180671551748108,0.2151387865311601,160.724,158.91,15.992037294086549,16.41,0.0007,0.3000000000000007,2.7777777777777783e-06,0,0
2021-09-03,160.39,160.89,159.145,159.49,7961223,-0.0060634659908472,0.1210243153228635,0.1551227270834872,0.213077087855332,160.012,159.0095,15.890093189234737,16.41,0.0008,0.0,3.174603174603174e-06,0,0
2021-09-07,159.99,161.3814,158.96,159.21,9290968,-0.0017571388267494,0.0618907571280089,0.1552401860696183,0.2131010872419704,159.76600000000002,159.1035,16.044553303424212,18.14,0.0008,1.7300000000000004,3.174603174603174e-06,0,0
2021-09-08,158.89,159.58,158.04,158.5,7852678,-0.004469492190578,0.0648141550266587,0.1499038889033347,0.2103498840575139,159.476,159.0655,15.87636517807817,17.96,0.0008,-0.1799999999999997,3.174603174603174e-06,0,0
